CLAVE,MATERIA,# GPOs
TC1028,Pensamiento Computacional para Ingeniería,8
TC1033,Pensamiento Computacional Orient. a Objetos,1
TC1027,Programación para Negocios,4
TC1001B,Principios de Prog. P. Ciencias Sociales,1
TC1031,Program. Est. Datos y Algorit. Fundam.,1
TC1032,Model. de Sistem. Mínimos y Arqui. Fund.,1
TC1004B,Implementación de Internet de las Cosas,1
TI1015,Análisis de Requerimientos de SW,1
TC2038,Análisis y Diseño de Algoritmos Avanzados,1
TC2007B,Integ. de Seg Inform. en Redes y Sist. de SW,1
TC2008B,Model. Sistem. Multiag. con Gráficas Comp.,1
