,,,,,,,,,,,,,,,,,,
Tema,Nombre,Horas,Víctor Mañón,Juan Alvarado,Roberto Leyva,Mauricio Paletta,Yerly Flores,Jaime López,Jorge Rodríguez,José Aguilera,Luis Guadarrama,Pedro Hernandez,María Mirafuentes,Roberto Vera,Octavio Silva,Fernando Ruiz,Ivan Olmos,Israel Tabarez
1,Álgebra booleana y compuertas lógicas,15,,,,,X,X,,,,,,,,,,X
2,Lógica combinacional,15,,,,,X,X,,,,,,,,,,X
3,Lógica secuencial sincrónica,5,,,,,X,X,,,,,,,,,,X
4,Registros y contadores,5,,,,,X,X,,,,,,,,,,X
5,Lógica secuencial asincrónica,5,,,,,X,X,,,,,,,,,,X
6,Análisis y diseño de bases de datos,20,X,X,X,X,,,,X,,X,,,,,,
7,Introducción al diseño interactivo,10,X,X,X,X,,,,X,,,,,,,,
8,Administración de recursos de un sistema computacional,15,,,,,,,,X,,X,,,,,,X
9,Internet of Things,30,,,,,,,,,,,,,,X,,X
,,120,,,,,,,,,,,,,,,,
